0_0_fanniemae_fuzzed, User: 0, Cell: C16, correct: -51786608.8, erroneous: 51786608.8, % change: -2
0_1_fanniemae_fuzzed, User: 0, Cell: C19, correct: -392700000, erroneous: 392700000, % change: -2
0_2_fanniemae_fuzzed, User: 0, Cell: C22, correct: -33376095, erroneous: 33376095, % change: -2
1_0_fanniemae_fuzzed, User: 1, Cell: C16, correct: -51786608.8, erroneous: 51786608.8, % change: -2
1_1_fanniemae_fuzzed, User: 1, Cell: C18, correct: 1515501800, erroneous: 151501800, % change: 0.9000319234196884490668371361
1_2_fanniemae_fuzzed, User: 1, Cell: C19, correct: -392700000, erroneous: 392700000, % change: -2
1_3_fanniemae_fuzzed, User: 1, Cell: C22, correct: -33376095, erroneous: 33376095, % change: -2
2_0_fanniemae_fuzzed, User: 2, Cell: C16, correct: -51786608.8, erroneous: -517866088, % change: -9
3_0_fanniemae_fuzzed, User: 3, Cell: C26, correct: 1003368421, erroneous: 1003365421, % change: 0.0000029899286615080743108219
4_0_fanniemae_fuzzed, User: 4, Cell: C13, correct: 340926355.5, erroneous: 340926355, % change: 0.0000000014665923943213595289
4_1_fanniemae_fuzzed, User: 4, Cell: C14, correct: 985666.55, erroneous: 5985666, % change: 5.0727088689374718052469164141
4_2_fanniemae_fuzzed, User: 4, Cell: C15, correct: 30000000, erroneous: 5530000000, % change: 183.33333333333333333333333333
4_3_fanniemae_fuzzed, User: 4, Cell: C16, correct: -51786608.8, erroneous: 51786608, % change: -1.9999999845519909772504740646
4_4_fanniemae_fuzzed, User: 4, Cell: C18, correct: 1515501800, erroneous: 81515501800, % change: 52.787796094996389974594553434
4_5_fanniemae_fuzzed, User: 4, Cell: C19, correct: -392700000, erroneous: 392700000, % change: -2
4_6_fanniemae_fuzzed, User: 4, Cell: C22, correct: -33376095, erroneous: 3376095, % change: -1.1011530857639277452919522191
5_0_fanniemae_fuzzed, User: 5, Cell: C16, correct: -51786608.8, erroneous: -517866608.8, % change: -9.00001005665387380994138392
6_0_fanniemae_fuzzed, User: 6, Cell: C15, correct: 30000000, erroneous: 300000000, % change: 9
7_0_fanniemae_fuzzed, User: 7, Cell: C12, correct: 1427602156, erroneous: 14227602159, % change: 8.966083407203820445897393279
8_0_fanniemae_fuzzed, User: 8, Cell: D14, correct: -45752811.06, erroneous: 45752811.06, % change: -2
8_1_fanniemae_fuzzed, User: 8, Cell: D16, correct: -50601311.96, erroneous: 50601311.96, % change: -2
8_2_fanniemae_fuzzed, User: 8, Cell: D19, correct: -383100000, erroneous: 383100000, % change: -2
8_3_fanniemae_fuzzed, User: 8, Cell: D22, correct: -32201025, erroneous: 32201025, % change: -2
9_0_fanniemae_fuzzed, User: 9, Cell: D15, correct: 30000000, erroneous: 300000000, % change: 9
10_0_fanniemae_fuzzed, User: 10, Cell: D22, correct: -32201025, erroneous: -322025175, % change: -9.000463494562673082611500721
11_0_fanniemae_fuzzed, User: 11, Cell: D14, correct: -45752811.06, erroneous: -457552811.06, % change: -9.000539867593438312334376597
12_0_fanniemae_fuzzed, User: 12, Cell: D14, correct: -45752811.06, erroneous: -45758211.06, % change: -0.000118025534932016918131631
13_0_fanniemae_fuzzed, User: 13, Cell: D14, correct: -45752811.06, erroneous: 45752811.06, % change: -2
13_1_fanniemae_fuzzed, User: 13, Cell: D16, correct: -50601311.96, erroneous: 50601311.96, % change: -2
13_2_fanniemae_fuzzed, User: 13, Cell: D19, correct: -383100000, erroneous: 383100000, % change: -2
13_3_fanniemae_fuzzed, User: 13, Cell: D22, correct: -32201025, erroneous: 32201025, % change: -2
14_0_fanniemae_fuzzed, User: 14, Cell: D15, correct: 30000000, erroneous: 300000000, % change: 9
14_1_fanniemae_fuzzed, User: 14, Cell: D16, correct: -50601311.96, erroneous: -506013111.96, % change: -8.999999849015772436110567596
14_2_fanniemae_fuzzed, User: 14, Cell: D18, correct: 1447283759, erroneous: -1447283759, % change: 2
15_0_fanniemae_fuzzed, User: 15, Cell: E16, correct: -60473972.81, erroneous: -60413972.81, % change: -0.0009921623669162740426214773
16_0_fanniemae_fuzzed, User: 16, Cell: E13, correct: 332114255.6, erroneous: 332114255, % change: 0.000000001806607183771848907
16_1_fanniemae_fuzzed, User: 16, Cell: E14, correct: 537985.22, erroneous: 6537985, % change: 11.152722336870146730053290312
16_2_fanniemae_fuzzed, User: 16, Cell: E15, correct: 30000000, erroneous: 2230000000, % change: 73.333333333333333333333333333
16_3_fanniemae_fuzzed, User: 16, Cell: E16, correct: -60473972.81, erroneous: 60473972, % change: -1.9999999866058080466303004246
16_4_fanniemae_fuzzed, User: 16, Cell: E18, correct: 1447134856, erroneous: 811447134856, % change: 559.72668797357749497811833509
16_5_fanniemae_fuzzed, User: 16, Cell: E19, correct: -384700000, erroneous: 384700000, % change: -2
16_6_fanniemae_fuzzed, User: 16, Cell: E22, correct: -20015625, erroneous: 20015625, % change: -2
17_0_fanniemae_fuzzed, User: 17, Cell: E14, correct: 537985.22, erroneous: 637985.22, % change: 0.1858787124300552346029134406
17_1_fanniemae_fuzzed, User: 17, Cell: E26, correct: 1018613404, erroneous: 101863404, % change: 0.899997974108732619819324506
18_0_fanniemae_fuzzed, User: 18, Cell: E13, correct: 332114255.6, erroneous: 332114155.6, % change: 0.0000003011011972953081511747
18_1_fanniemae_fuzzed, User: 18, Cell: E26, correct: 1018613404, erroneous: 1015613404, % change: 0.0029451801716129783031993166
19_0_fanniemae_fuzzed, User: 19, Cell: E12, correct: 1361974149, erroneous: 1361974148, % change: 0.0000000007342283263850700297
20_0_fanniemae_fuzzed, User: 20, Cell: E15, correct: 30000000, erroneous: 300000000, % change: 9
20_1_fanniemae_fuzzed, User: 20, Cell: E26, correct: 1018613404, erroneous: 108613404, % change: 0.8933713187226034186371260436
21_0_fanniemae_fuzzed, User: 21, Cell: E14, correct: 537985.22, erroneous: 537958.22, % change: 0.0000501872523561149133427866
22_0_fanniemae_fuzzed, User: 22, Cell: E16, correct: -60473972.81, erroneous: 60473972.81, % change: -2
22_1_fanniemae_fuzzed, User: 22, Cell: E19, correct: -384700000, erroneous: 384700000, % change: -2
22_2_fanniemae_fuzzed, User: 22, Cell: E22, correct: -20015625, erroneous: 20015625, % change: -2
23_0_fanniemae_fuzzed, User: 23, Cell: E15, correct: 30000000, erroneous: 3000000, % change: 0.9
24_0_fanniemae_fuzzed, User: 24, Cell: F16, correct: -53616441.74, erroneous: 53616441.74, % change: -2
24_1_fanniemae_fuzzed, User: 24, Cell: F19, correct: -412700000, erroneous: 412700000, % change: -2
24_2_fanniemae_fuzzed, User: 24, Cell: F22, correct: -20015625, erroneous: 20015625, % change: -2
25_0_fanniemae_fuzzed, User: 25, Cell: F15, correct: 35000000, erroneous: 350000000, % change: 9
26_0_fanniemae_fuzzed, User: 26, Cell: F12, correct: 1305498329, erroneous: 1303578329, % change: 0.0014707027633430237810744835
26_1_fanniemae_fuzzed, User: 26, Cell: F18, correct: 1451068426, erroneous: 1454068426, % change: 0.0020674421317744253640041645
27_0_fanniemae_fuzzed, User: 27, Cell: F16, correct: -53616441.74, erroneous: -56316441.74, % change: -0.0503576871641911386564907841
28_0_fanniemae_fuzzed, User: 28, Cell: F19, correct: -412700000, erroneous: .412700000, % change: -1.000000001
29_0_fanniemae_fuzzed, User: 29, Cell: F13, correct: 325268233.6, erroneous: 355268233.6, % change: 0.0922315704425432093593784007
29_1_fanniemae_fuzzed, User: 29, Cell: F16, correct: -53616441.74, erroneous: 53616441.74, % change: -2
29_2_fanniemae_fuzzed, User: 29, Cell: F19, correct: -412700000, erroneous: 412700000, % change: -2
29_3_fanniemae_fuzzed, User: 29, Cell: F22, correct: -20015625, erroneous: 20015625, % change: -2
30_0_fanniemae_fuzzed, User: 30, Cell: F13, correct: 325268233.6, erroneous: 325268233, % change: 0.0000000018446314088508641872
30_1_fanniemae_fuzzed, User: 30, Cell: F14, correct: 44875817.62, erroneous: 644875817, % change: 13.370229918944037280807542421
30_2_fanniemae_fuzzed, User: 30, Cell: F15, correct: 35000000, erroneous: 6235000000, % change: 177.14285714285714285714285714
30_3_fanniemae_fuzzed, User: 30, Cell: F16, correct: -53616441.74, erroneous: 53616441, % change: -1.9999999861982635179624286645
30_4_fanniemae_fuzzed, User: 30, Cell: F18, correct: 1451068426, erroneous: 741451068426, % change: 509.9690591710249231210272368
30_5_fanniemae_fuzzed, User: 30, Cell: F19, correct: -412700000, erroneous: 412700000, % change: -2
30_6_fanniemae_fuzzed, User: 30, Cell: F22, correct: -20015625, erroneous: 20015625, % change: -2
31_0_fanniemae_fuzzed, User: 31, Cell: F16, correct: -53616441.74, erroneous: 53616441.74, % change: -2
31_1_fanniemae_fuzzed, User: 31, Cell: F19, correct: -412700000, erroneous: 412700000, % change: -2
31_2_fanniemae_fuzzed, User: 31, Cell: F22, correct: -20015625, erroneous: 20015625, % change: -2
32_0_fanniemae_fuzzed, User: 32, Cell: G14, correct: 34063116.8, erroneous: 3406311.8, % change: 0.8999999964771280119616065198
32_1_fanniemae_fuzzed, User: 32, Cell: G16, correct: -60834434.38, erroneous: 60834434.38, % change: -2
32_2_fanniemae_fuzzed, User: 32, Cell: G19, correct: -379300000, erroneous: 379300000, % change: -2
32_3_fanniemae_fuzzed, User: 32, Cell: G22, correct: -20015625, erroneous: 20015625, % change: -2
33_0_fanniemae_fuzzed, User: 33, Cell: G13, correct: 319819483.2, erroneous: 3198194883.2, % change: 9.000000160090309344856073484
34_0_fanniemae_fuzzed, User: 34, Cell: G16, correct: -60834434.38, erroneous: 60834434.38, % change: -2
34_1_fanniemae_fuzzed, User: 34, Cell: G19, correct: -379300000, erroneous: 379300000, % change: -2
