41: "I","4188377156", "10122006300", "-44319159.29", "90000000", "-162861893.6", "4409920415", "-1160500000", "3283450395", "-85592745", "1010658959", 
42: "I","4188377156", "1012006300", "-44319159.29", "90000000", "-162861893.6", "4409920415", "-11605000000", "3283450395", "-85592745", "1010658959", 
43: "I","4188377156", "1012006300", "-44319159.29", "90000000", "-162861893.6", "4409920415", "1160500000", "32834503985", "-85592745", "1010658959", 
44: "I","4188377156", "1012006300", "-443319159.29", "90000000", "-162861893.6", "4409920415", "-1160500000", "3283450395", "-85592745", "1010658959", 
45: "I","4188377156", "1012006300", "-44319159.29", "90000000", "-162861893.6", "4409920415", "-1160500000", "3283450395", "-85592745", "10110658959", 
46: "I","4188377156", "1012006300", "-4419159.29", "90000000", "-162861893.6", "4409920415", "-1160500000", "3283450395", "-85592745", "1010658959", 
47: "I","4188377156", "1012006300", "44319159.29", "90000000", "162861896.6", "4409920415", "1160500000", "3283450395", "85592745", "1010658959", 
48: "I","4188377156", "1012006300", "44319159.29", "90000000", "162861893.6", "4409920415", "1160500000", "3283450395", "85592745", "1010658959", 
49: "I","4188377156", "1012006300", "44319159.29", "162861893.6", "4409920415", "1660500000", "3283450395", "85592745", "1010658959", "", 
50: "J","3588029419", "956934340.6", "146268235.1", "85000000", "193292161.3", "3988593763", "1105900000", "2873504781", "57815625", "1031977291", 
51: "J","3588029419", "956934340.6", "146268235.1", "85000000", "193292161.3", "3988593763", "1105900000", "283504781", "57815625", "1031977291", 
52: "J","35880294", "956934340.6", "146268235.1", "85000000", "-193292161.3", "3988593763", "-1105900000", "2873504781", "-57815625", "1031977291", 
53: "J","3588029419", "9569343401.6", "146268235.1", "85000000", "-193292161.3", "3988593763", "-1105900000", "2873504781", "-57815625", "1031977291", 
54: "J","956934340.6", "146268235.1", "850000000", "-193292161.3", "398885393763", "-1105900000", "2873504781", "-57815625", "1031977291", "", 
55: "J","3588029419", "956934340.6", "146269235.1", "85000000", "-193292161.3", "3988593763", "-1105900000", "2873504781", "-57815625", "1031977291", 
56: "J","3588029419", "956934340.6", "46268235.1", "85000000", "193292161.3", "3988593763", "1105900000", "2873504781", "57815625", "1031977291", 
57: "J","3588029419", "956934340.6", "146268235.1", "85000000", "193292161.3", "3988593763", "1105900000", "2873504781", "57815625", "1031977291", 
